Height ,Weight,DraftOvrl,Age,Name,Team,Season,Playoff,Starter,GS,GP,W,L,OTL,Shots ,Saves ,GAA,Svperc,Assists,PIM,Shutouts,StGA,StSV,StSVperc,StGAA,StMIN,QS,RBS,Pull,QSperc,AdjSVperc,QoC,Gsupp,HDGSAA,SVperc5v5,xSVperc,dSVperc,HDSVperc,GSAA5v5
78,232,153,27,Scott Darling,CHI,2015,1,0,24,29,12,8,4,784,717,2.577,0.915,0,0,1,62,651,0.913,2.648,1405,13,5,1,0.542,0.916,0.085,3.042,0.18,91.77,92.42,-0.65,77.31,-4
74,209,23,27,Semyon Varlamov,COL,2015,0,1,57,57,27,25,3,1714,1566,2.811,0.914,0,6,2,148,1566,0.914,2.809,3161,25,10,7,0.439,0.916,0.085,2.632,2.32,92.3,92.47,-0.17,81.32,-2.33
74,199,0,27,Sergei Bobrovsky,CBJ,2015,0,2,37,37,15,19,1,1049,952,2.75,0.908,2,2,1,97,952,0.908,2.749,2117,18,8,4,0.486,0.904,0.085,2.649,-4.86,91.52,92.53,-1.01,77.94,-8.23
76,210,69,27,Steve Mason,PHI,2015,1,1,53,54,23,19,10,1602,1470,2.514,0.918,0,2,4,130,1454,0.918,2.51,3108,29,5,3,0.547,0.919,0.086,2.566,0.2,93.53,92.3,1.23,79.92,15.53
73,228,94,30,Thomas Greiss,NYI,2015,1,0,38,41,23,11,4,1197,1107,2.361,0.925,1,2,1,89,1086,0.924,2.4,2225,23,2,2,0.605,0.926,0.084,3.158,11.56,93.45,91.66,1.79,83.92,16.62
75,176,21,28,Tuukka Rask,BOS,2015,0,1,62,64,31,22,8,1854,1697,2.561,0.915,1,0,4,152,1654,0.916,2.535,3598,35,10,4,0.565,0.915,0.085,2.919,-6.66,92.56,92.74,-0.18,74.48,-2.6
72,205,0,27,Aaron Dell,SJS,2016,1,0,17,20,11,6,1,533,496,1.999,0.931,0,0,1,33,450,0.932,1.952,1014,12,1,0,0.706,0.929,0.087,2.485,3.79,94.88,92.44,2.43,82.05,10.93
74,209,6,31,Al Montoya,MTL,2016,1,0,18,19,8,6,4,569,519,2.667,0.912,2,2,2,50,514,0.911,2.741,1094,12,2,0,0.667,0.912,0.087,2.553,4.95,92.05,92.18,-0.13,81.11,-0.58
78,229,62,26,Anders Nilsson,BUF,2016,0,0,23,26,10,10,4,857,791,2.668,0.923,0,0,1,61,711,0.921,2.692,1360,11,2,1,0.478,0.922,0.088,2.439,4.2,93.29,92.02,1.27,84.17,8.33
75,207,19,22,Andrei Vasilevskiy,TBL,2016,0,2,47,50,23,17,7,1480,1357,2.607,0.917,2,2,2,121,1320,0.916,2.645,2745,25,5,3,0.532,0.913,0.086,2.472,3.99,92.29,92.89,-0.59,79.06,-6.69
71,195,206,30,Anton Khudobin,BOS,2016,1,0,14,16,7,6,1,405,366,2.645,0.904,1,2,0,36,334,0.903,2.64,818,5,2,1,0.357,0.905,0.086,2.689,-2.56,90.58,91.88,-1.29,76.56,-3.98
74,215,0,33,Antti Niemi,DAL,2016,0,0,30,37,12,12,4,880,785,3.298,0.892,0,0,0,84,723,0.896,3.289,1532,14,7,7,0.467,0.891,0.089,2.943,-7.99,90.87,92.15,-1.28,76.34,-8.53
72,195,0,27,Antti Raanta,NYR,2016,1,0,26,30,16,8,2,782,721,2.263,0.922,1,0,4,54,690,0.927,2.135,1518,18,1,2,0.692,0.923,0.086,2.849,4.85,93.46,92.19,1.27,81.25,7.94
79,216,85,30,Ben Bishop,TBL,2016,0,2,37,39,18,15,5,1040,946,2.538,0.91,0,10,1,91,923,0.91,2.552,2140,19,6,4,0.514,0.909,0.085,2.792,7.71,92.46,92.24,0.22,81.58,1.75
74,217,93,27,Braden Holtby,WSH,2016,1,1,63,63,42,13,6,1690,1563,2.071,0.925,0,0,9,127,1563,0.925,2.071,3680,39,8,5,0.619,0.927,0.088,2.791,1.88,93.65,92.45,1.2,81.32,16.2
74,209,291,31,Brian Elliott,CGY,2016,1,2,45,49,26,18,3,1338,1217,2.552,0.91,0,4,2,113,1158,0.911,2.511,2700,26,4,1,0.578,0.91,0.086,2.61,-4.2,92.17,92.08,0.09,78.26,0.93
73,200,49,24,Calvin Pickard,COL,2016,0,0,48,50,15,31,2,1461,1321,2.978,0.904,2,2,2,139,1306,0.904,3.012,2769,21,11,3,0.438,0.898,0.088,2.254,-6.87,91.25,92.84,-1.59,74.51,-18.71
73,185,25,32,Cam Ward,CAR,2016,0,1,61,61,26,22,12,1711,1549,2.687,0.905,1,6,2,162,1549,0.905,2.687,3618,30,9,3,0.492,0.906,0.087,2.933,-10.94,91.15,92.06,-0.91,74.46,-12.96
75,226,5,29,Carey Price,MTL,2016,1,1,62,62,37,20,5,1794,1656,2.233,0.923,1,4,3,138,1656,0.923,2.233,3708,38,8,1,0.613,0.921,0.086,2.617,14.54,93.59,92.53,1.06,87.68,14.9
73,195,0,31,Carter Hutton,STL,2016,1,0,21,30,13,8,2,663,605,2.385,0.913,1,4,4,46,525,0.919,2.213,1247,11,3,1,0.524,0.912,0.089,2.347,-0.52,92.11,92.48,-0.37,78.79,-1.86
75,196,125,30,Chad Johnson,CGY,2016,1,2,36,36,18,15,1,969,882,2.593,0.91,0,0,3,87,882,0.91,2.593,2013,18,7,4,0.5,0.913,0.086,2.405,-1.62,91.57,91.9,-0.34,78.26,-2.53
76,207,130,23,Connor Hellebuyck,WPG,2016,0,1,53,56,26,19,4,1572,1426,2.888,0.907,0,0,4,144,1399,0.907,2.921,2958,25,9,9,0.472,0.908,0.086,2.834,-5.54,91.76,92.45,-0.69,76.15,-8.29
74,216,52,32,Corey Crawford,CHI,2016,1,1,55,55,32,18,4,1691,1553,2.55,0.918,1,2,2,138,1553,0.918,2.55,3247,29,7,4,0.527,0.92,0.087,2.54,9.9,93.09,92.1,0.99,81.78,12.97
75,205,26,30,Cory Schneider,NJD,2016,0,1,59,60,20,27,11,1781,1618,2.816,0.908,0,0,2,163,1600,0.908,2.84,3444,27,7,3,0.458,0.911,0.087,2.318,8.5,92.18,92.37,-0.19,80.83,-2.67
74,187,73,35,Craig Anderson,OTT,2016,1,1,40,40,25,11,4,1247,1155,2.28,0.926,1,0,5,92,1155,0.926,2.28,2421,25,4,1,0.625,0.92,0.085,2.514,5.92,93.95,92.76,1.18,84.62,11.73
77,215,161,26,Darcy Kuemper,MIN,2016,1,0,17,18,8,5,3,562,507,3.134,0.902,1,4,0,53,489,0.902,3.187,998,5,3,2,0.294,0.892,0.085,2.963,0.94,90.97,92.68,-1.72,79.31,-8.17
78,213,14,30,Devan Dubnyk,MIN,2016,1,1,63,65,40,19,5,1842,1701,2.251,0.923,0,10,5,140,1683,0.923,2.252,3729,39,7,1,0.619,0.912,0.087,2.681,2.81,93.08,93.72,-0.65,80,-9.56
76,187,0,29,Eddie Lack,CAR,2016,0,0,18,20,8,7,3,492,444,2.643,0.902,0,0,1,48,437,0.901,2.671,1078,9,3,0,0.5,0.909,0.085,2.677,1.27,92.05,92.03,0.02,81.25,0.09
73,188,205,34,Henrik Lundqvist,NYR,2016,1,1,55,57,31,20,4,1650,1502,2.74,0.91,1,0,2,141,1481,0.913,2.647,3196,32,8,5,0.582,0.911,0.086,2.724,-1.41,91.77,91.66,0.11,78.72,1.45
78,196,31,27,Jacob Markstrom,VAN,2016,0,0,23,26,10,11,3,692,630,2.625,0.91,0,2,0,61,624,0.911,2.629,1392,12,2,0,0.522,0.915,0.086,2.302,-1.17,91.9,92.16,-0.25,76.92,-1.35
74,203,34,26,Jake Allen,STL,2016,1,1,60,61,33,20,5,1620,1482,2.422,0.915,1,4,4,138,1479,0.915,2.435,3401,33,11,8,0.55,0.91,0.085,2.416,-3.36,92.53,92.87,-0.34,79.53,-4.33
74,217,99,28,James Reimer,FLA,2016,0,0,39,43,18,16,5,1222,1124,2.529,0.92,0,2,3,97,1082,0.918,2.569,2265,19,4,4,0.487,0.918,0.088,2.527,5.12,93.28,92.48,0.8,79.35,7.88
78,220,0,25,Jared Coreau,DET,2016,0,0,14,14,5,4,3,362,321,3.457,0.887,0,0,2,41,321,0.887,3.457,712,5,6,3,0.357,0.887,0.086,2.631,-1.93,90.32,92.35,-2.03,75,-5.65
71,181,271,31,Jaroslav Halak,NYI,2016,0,0,26,28,12,9,5,885,810,2.803,0.915,1,0,2,70,769,0.917,2.785,1508,14,3,3,0.538,0.92,0.089,2.718,-2.64,91.86,91.78,0.07,74.81,0.47
73,218,64,32,Jimmy Howard,DET,2016,0,1,24,26,10,11,1,675,626,2.105,0.927,0,2,1,48,606,0.927,2.147,1341,16,4,3,0.667,0.927,0.084,2.385,2.49,92.54,92.74,-0.2,80.65,-1.08
75,226,39,23,John Gibson,ANA,2016,1,1,49,52,25,16,9,1437,1328,2.217,0.924,1,4,6,106,1281,0.924,2.231,2851,28,7,6,0.571,0.928,0.085,2.865,2.14,93.46,92.33,1.13,80.73,12.29
72,184,11,28,Jonathan Bernier,ANA,2016,1,0,33,39,21,7,4,982,899,2.499,0.915,0,4,2,78,870,0.918,2.464,1899,19,4,3,0.576,0.914,0.088,2.998,4.55,92.24,92.53,-0.29,76.92,-2.12
73,218,72,31,Jonathan Quick,LAK,2016,0,1,17,17,8,5,2,421,386,2.256,0.917,0,2,2,35,386,0.917,2.256,931,11,2,2,0.647,0.924,0.09,2.829,-0.07,92.71,92.05,0.66,78.95,2.26
75,190,62,22,Joonas Korpisalo,CBJ,2016,1,0,13,14,7,5,1,401,363,2.884,0.905,0,0,1,38,358,0.904,2.932,778,6,2,0,0.462,0.906,0.088,2.679,-4.08,90.8,91.64,-0.84,73.91,-2.75
71,180,99,21,Juuse Saros,NSH,2016,1,0,19,21,10,8,3,614,567,2.35,0.923,1,0,1,43,534,0.925,2.269,1137,13,1,0,0.684,0.918,0.088,2.663,-0.36,92.7,92.49,0.21,77.53,1.02
76,190,2,33,Kari Lehtonen,DAL,2016,0,1,52,59,22,25,7,1546,1395,2.852,0.902,1,4,3,140,1278,0.901,2.875,2922,27,12,7,0.519,0.907,0.086,2.81,1.88,92.49,91.39,1.11,81.92,13.73
75,195,0,27,Keith Kinkaid,NJD,2016,0,0,23,26,8,13,3,778,713,2.642,0.916,1,0,1,63,672,0.914,2.779,1360,12,4,1,0.522,0.917,0.089,2.52,-4.17,93.16,92.3,0.86,77.98,5.06
75,210,138,24,Louis Domingue,ARI,2016,0,0,26,31,11,15,1,888,806,3.078,0.908,0,0,0,76,764,0.91,3.058,1491,12,4,2,0.462,0.906,0.086,2.182,7.02,92.22,92.56,-0.34,84.38,-2.36
74,180,1,32,Marc-Andre Fleury,PIT,2016,1,2,34,38,18,10,7,1181,1074,3.021,0.909,0,6,1,101,1003,0.909,3.017,2009,16,5,3,0.471,0.917,0.088,3.189,0.77,91.58,91.58,0,79.91,0.03
76,190,0,27,Martin Jones,SJS,2016,1,1,65,65,35,23,6,1725,1573,2.4,0.912,0,0,2,152,1573,0.912,2.4,3800,39,8,3,0.6,0.916,0.086,2.843,1.59,91.62,91.79,-0.17,79.29,-2.17
76,178,83,22,Matt Murray,PIT,2016,1,2,47,49,32,10,4,1450,1339,2.408,0.923,2,0,4,110,1316,0.923,2.423,2724,26,4,4,0.553,0.927,0.085,3.187,10.84,93.43,91.8,1.63,82.94,18.15
75,202,77,26,Michael Hutchinson,WPG,2016,0,0,20,28,9,12,3,690,623,2.917,0.903,0,0,1,56,536,0.905,2.911,1154,8,1,2,0.4,0.902,0.086,2.338,-5.37,91.51,92.53,-1.03,73.63,-5.31
73,209,34,28,Michal Neuvirth,PHI,2016,0,0,24,28,11,11,1,586,522,2.816,0.891,0,2,0,61,487,0.889,2.883,1269,10,4,5,0.417,0.889,0.087,2.859,-2.86,90.21,92.2,-1.99,74.47,-9.33
74,197,0,26,Mike Condon,OTT,2016,1,0,38,41,19,14,6,1122,1026,2.478,0.914,0,4,5,94,995,0.914,2.502,2254,19,7,2,0.5,0.913,0.088,2.441,-3.11,91.97,92.62,-0.65,79.43,-5.52
76,215,161,34,Mike Smith,ARI,2016,0,1,55,55,19,26,9,1819,1663,2.923,0.914,0,14,3,156,1663,0.914,2.923,3202,27,7,6,0.491,0.917,0.087,2.45,10.27,92.47,92.2,0.27,78.77,3.96
77,217,258,34,Pekka Rinne,NSH,2016,1,1,61,61,31,19,9,1757,1613,2.422,0.918,0,4,3,144,1613,0.918,2.422,3568,34,7,4,0.557,0.911,0.086,2.587,-9.86,92.94,93.02,-0.08,74.75,-1.09
73,196,63,34,Peter Budaj,LAK,2016,0,0,55,60,30,21,3,1414,1294,2.176,0.915,1,0,7,117,1264,0.915,2.175,3228,32,7,5,0.582,0.912,0.086,2.666,-7.24,92.61,92.53,0.08,80.98,0.89
74,183,141,24,Petr Mrazek,DET,2016,0,0,44,50,18,21,9,1462,1317,3.045,0.901,0,2,1,131,1222,0.903,3.013,2609,19,9,2,0.432,0.904,0.087,2.464,1.34,91.67,91.94,-0.26,82.81,-2.99
73,182,112,25,Philipp Grubauer,WSH,2016,1,0,19,24,13,6,2,585,542,2.04,0.926,0,0,3,37,504,0.932,1.948,1140,13,1,0,0.684,0.931,0.082,2.458,1.8,93.98,92.37,1.61,78.75,6.95
75,217,4,37,Roberto Luongo,FLA,2016,0,1,39,40,17,15,6,1217,1113,2.682,0.915,1,4,1,101,1104,0.916,2.619,2314,21,1,2,0.538,0.915,0.086,2.472,-9.42,91.39,92.31,-0.92,74.4,-8.64
76,239,46,25,Robin Lehner,BUF,2016,0,1,58,59,23,26,8,1910,1758,2.678,0.92,1,6,2,152,1734,0.919,2.709,3366,32,6,3,0.552,0.913,0.086,2.593,-10.81,92.75,93.21,-0.45,74.68,-6.83
74,168,138,36,Ryan Miller,VAN,2016,0,1,54,54,18,29,6,1737,1587,2.802,0.914,1,22,3,150,1587,0.914,2.802,3212,26,7,3,0.481,0.915,0.087,2.31,-0.91,92.65,92.02,0.63,79.06,8.96
78,232,153,28,Scott Darling,CHI,2016,1,0,27,32,18,5,5,877,810,2.381,0.924,0,0,2,62,797,0.928,2.282,1630,17,1,0,0.63,0.925,0.086,2.558,8.72,93.72,91.52,2.21,86.31,15.81
74,209,23,28,Semyon Varlamov,COL,2016,0,1,23,24,6,17,0,745,669,3.383,0.898,1,0,1,70,659,0.904,3.194,1315,11,5,2,0.478,0.899,0.089,2.048,-6.17,90.21,92.64,-2.43,72.32,-13.92
74,182,0,28,Sergei Bobrovsky,CBJ,2016,1,1,63,63,41,17,5,1854,1727,2.056,0.931,0,8,7,127,1727,0.931,2.056,3707,41,5,3,0.651,0.933,0.087,2.74,16.28,93.87,91.97,1.89,85.71,27.47
76,210,69,28,Steve Mason,PHI,2016,0,1,54,58,26,21,8,1556,1413,2.661,0.908,1,0,3,139,1374,0.908,2.689,3102,26,11,6,0.481,0.905,0.087,2.629,-10.2,91.85,92.29,-0.44,75.41,-5.35
73,228,94,31,Thomas Greiss,NYI,2016,0,1,49,51,26,18,5,1453,1327,2.687,0.913,1,0,3,121,1300,0.915,2.646,2744,30,11,7,0.612,0.918,0.087,2.601,7.55,92.05,91.43,0.61,81.68,7.25
75,176,21,29,Tuukka Rask,BOS,2016,1,1,64,65,37,20,5,1610,1473,2.234,0.915,2,0,8,137,1465,0.914,2.246,3660,31,14,6,0.484,0.91,0.086,2.698,-9.16,92.01,92.74,-0.72,75.83,-9.05
72,200,0,28,Aaron Dell,SJS,2017,1,0,22,29,15,5,4,775,708,2.641,0.914,1,0,2,60,635,0.914,2.725,1321,11,4,0,0.545,0.917,0.086,3.154,-2.94,91.91,91.74,0.17,77.52,1.05
72,191,112,30,Alex Stalock,MIN,2017,1,0,23,28,10,10,4,787,716,2.849,0.91,0,0,1,65,663,0.911,2.864,1362,13,3,1,0.565,0.904,0.089,2.327,-6.79,91.94,93.1,-1.15,77.11,-6.58
78,229,62,27,Anders Nilsson,VAN,2017,0,0,24,27,7,14,4,850,766,3.443,0.901,1,0,2,80,709,0.899,3.539,1356,8,5,3,0.333,0.904,0.09,2.624,-2.26,91.49,91.65,-0.16,80.29,-1.07
75,192,188,25,Anton Forsberg,CHI,2017,0,0,30,35,10,16,4,921,836,2.974,0.908,1,0,0,81,790,0.907,3.041,1598,14,7,6,0.467,0.913,0.09,2.589,-3.33,90.74,91.8,-1.06,78.4,-7.78
71,195,206,31,Anton Khudobin,BOS,2017,1,0,29,31,16,6,7,876,800,2.561,0.913,2,2,1,74,778,0.913,2.579,1721,16,4,1,0.552,0.917,0.086,3.134,0.87,92.43,91.83,0.6,80.15,3.89
74,215,0,34,Antti Niemi,MTL,2017,0,0,20,24,7,9,4,710,647,3.116,0.911,1,0,1,55,586,0.914,2.984,1106,12,4,2,0.6,0.915,0.093,2.325,4.83,92.84,91.68,1.17,81.31,6.2
72,195,0,28,Antti Raanta,ARI,2017,0,1,46,47,21,17,6,1388,1291,2.239,0.93,0,0,3,97,1279,0.93,2.256,2580,32,6,5,0.674,0.928,0.087,2.516,2.31,93.68,93.02,0.66,82.87,7.06
79,225,85,31,Ben Bishop,DAL,2017,0,1,51,53,26,17,5,1437,1317,2.494,0.916,1,4,5,119,1294,0.916,2.532,2820,27,8,7,0.471,0.914,0.087,2.66,13.01,92.36,92.54,-0.18,85.64,-1.94
74,211,93,28,Braden Holtby,WSH,2017,1,1,54,54,34,16,4,1648,1495,2.992,0.907,0,2,0,153,1495,0.907,2.992,3068,30,9,7,0.556,0.91,0.087,3.286,-11.38,91.72,91.94,-0.21,76.68,-2.72
74,209,291,32,Brian Elliott,PHI,2017,1,1,42,43,23,11,7,1228,1116,2.665,0.909,1,2,1,112,1103,0.908,2.689,2499,20,6,2,0.524,0.907,0.087,2.998,2.22,93.11,92.51,0.6,82.35,5.67
76,200,0,30,Cam Talbot,EDM,2017,0,1,67,67,31,31,3,2036,1848,3.024,0.908,1,8,1,188,1848,0.908,3.024,3730,32,11,8,0.493,0.911,0.088,2.686,-4.19,91.63,91.71,-0.08,79.77,-1.37
73,185,25,33,Cam Ward,CAR,2017,0,2,42,43,23,14,4,1187,1075,2.732,0.906,0,14,2,110,1052,0.905,2.736,2412,21,10,3,0.548,0.901,0.089,2.952,0.65,91.79,92.2,-0.4,80.41,-3.99
75,215,5,30,Carey Price,MTL,2017,0,1,48,49,16,26,7,1487,1339,3.111,0.9,0,0,1,145,1314,0.901,3.102,2804,21,10,2,0.458,0.895,0.087,2.501,-15.88,91.3,92.85,-1.55,74.59,-17.77
73,202,0,32,Carter Hutton,STL,2017,0,0,26,32,17,7,3,810,754,2.088,0.931,0,2,3,45,696,0.939,1.848,1461,19,2,3,0.731,0.93,0.089,2.498,1.03,94.03,92.51,1.52,78.43,9.43
72,181,0,26,Casey DeSmith,PIT,2017,1,0,11,14,6,4,1,356,328,2.399,0.921,0,2,1,24,299,0.926,2.391,602,7,1,1,0.636,0.934,0.086,3.085,2.46,93.26,91.62,1.64,80.95,4.37
75,197,125,31,Chad Johnson,BUF,2017,0,0,29,36,10,17,3,962,857,3.552,0.891,0,0,0,93,778,0.893,3.559,1568,12,6,5,0.414,0.89,0.089,2.842,-14.18,90.34,92.05,-1.71,71.43,-13.08
73,182,0,24,Charlie Lindgren,MTL,2017,0,0,14,14,4,8,2,457,415,3.025,0.908,0,2,2,42,415,0.908,3.025,833,9,5,1,0.643,0.913,0.088,1.801,-3.85,92.66,91.81,0.84,79.49,2.98
76,207,130,24,Connor Hellebuyck,WPG,2017,1,1,64,67,44,11,9,2048,1892,2.36,0.924,2,0,6,153,1834,0.923,2.38,3858,39,6,1,0.609,0.919,0.088,3.389,0.52,93.07,92.92,0.14,80.18,2.16
74,216,52,33,Corey Crawford,CHI,2017,0,1,27,28,16,9,2,842,782,2.273,0.929,0,0,2,59,775,0.929,2.279,1554,17,3,2,0.63,0.931,0.088,3.259,6.93,93.38,91.86,1.52,85.93,9.9
75,200,26,31,Cory Schneider,NJD,2017,1,1,40,40,17,16,6,1228,1114,2.933,0.907,0,0,1,114,1114,0.907,2.933,2332,19,7,4,0.475,0.911,0.088,2.778,-3.27,91.48,91.76,-0.27,79.89,-2.51
74,185,73,36,Craig Anderson,OTT,2017,0,1,55,58,23,25,6,1768,1588,3.323,0.898,0,2,2,179,1536,0.896,3.398,3161,25,11,5,0.473,0.899,0.089,2.75,-14.72,90.19,91.89,-1.7,74.73,-23.6
74,200,176,34,Curtis McElhinney,TOR,2017,1,0,15,18,11,5,1,528,493,2.145,0.934,1,0,3,32,456,0.934,2.154,891,8,1,0,0.533,0.934,0.084,3.187,9.65,94.99,92.74,2.25,91.04,8.97
75,202,0,25,David Rittich,CGY,2017,0,0,16,21,8,6,3,512,463,2.916,0.904,0,14,0,45,445,0.908,2.884,936,10,3,1,0.625,0.9,0.087,2.856,-3.71,91.28,92.57,-1.29,74.24,-5.02
78,218,14,31,Devan Dubnyk,MIN,2017,1,1,59,60,35,16,7,1769,1624,2.522,0.918,3,12,5,143,1617,0.919,2.501,3430,36,8,5,0.593,0.903,0.087,3.234,8.31,93.03,93.57,-0.54,80.11,-7.55
76,230,87,28,Frederik Andersen,TOR,2017,1,1,66,66,38,21,5,2211,2029,2.808,0.918,1,2,5,182,2029,0.918,2.808,3889,37,8,3,0.561,0.919,0.088,3.209,-4.45,92.4,91.83,0.58,79.01,10.26
73,180,205,35,Henrik Lundqvist,NYR,2017,0,1,61,63,26,26,7,2036,1862,2.981,0.915,1,0,2,170,1818,0.914,2.974,3429,32,9,8,0.541,0.916,0.088,2.689,9.02,92.12,91.99,0.14,81.57,2.24
78,196,31,28,Jacob Markstrom,VAN,2017,0,1,57,60,23,26,7,1745,1591,2.707,0.912,3,4,2,151,1560,0.912,2.724,3326,29,8,3,0.526,0.91,0.087,2.513,0.94,92.34,92.49,-0.16,79.76,-2.16
74,203,34,27,Jake Allen,STL,2017,0,1,56,59,27,25,3,1614,1462,2.75,0.906,1,0,1,146,1417,0.907,2.734,3204,27,8,5,0.518,0.903,0.089,2.695,-0.52,92.31,92.51,-0.2,80.7,-2.57
74,217,99,29,James Reimer,FLA,2017,0,0,42,44,22,14,6,1373,1253,2.986,0.913,1,4,4,116,1226,0.914,2.955,2356,22,8,6,0.524,0.916,0.088,3.16,-7.8,91.67,91.92,-0.25,79.13,-2.61
71,183,271,32,Jaroslav Halak,NYI,2017,0,1,49,54,20,26,6,1744,1583,3.194,0.908,0,4,1,157,1533,0.907,3.249,2899,22,8,2,0.449,0.91,0.087,2.817,5.98,92.34,91.85,0.49,80.38,6.53
73,177,95,26,J-F Berube,CHI,2017,0,0,10,13,3,6,1,398,356,3.776,0.894,0,0,0,36,306,0.895,3.953,546,3,3,2,0.3,0.898,0.084,2.697,-4.88,89.85,91.08,-1.23,74.6,-3.28
75,206,89,32,Jeff Glass,CHI,2017,0,0,13,15,3,7,3,452,406,3.362,0.898,0,2,0,41,391,0.905,3.195,770,5,2,0,0.462,0.907,0.089,1.973,4.19,91.92,91.4,0.53,84.42,1.89
75,223,39,24,John Gibson,ANA,2017,1,1,60,60,31,18,7,1872,1733,2.433,0.926,1,16,4,139,1733,0.926,2.433,3428,39,4,9,0.6,0.93,0.088,2.765,4.47,92.88,91.9,0.97,80.56,14.09
78,223,75,23,Jon Gillies,CGY,2017,0,0,9,11,3,5,1,280,251,2.876,0.896,0,2,0,24,229,0.905,2.686,536,5,2,0,0.556,0.9,0.089,2.678,-2.81,89.1,91.46,-2.36,77.27,-4.98
72,184,11,29,Jonathan Bernier,COL,2017,1,2,34,37,19,13,3,1092,997,2.848,0.913,1,0,2,91,960,0.913,2.819,1937,18,5,4,0.5,0.903,0.087,3.208,-6.28,93.15,93.43,-0.28,77.88,-2.29
75,182,62,23,Joonas Korpisalo,CBJ,2017,1,0,17,18,8,8,1,564,506,3.318,0.897,0,0,0,56,496,0.899,3.266,1029,7,3,0,0.412,0.9,0.092,2.689,1.74,90,91.64,-1.64,83.67,-7.38
71,180,99,22,Juuse Saros,NSH,2017,1,0,23,26,11,5,7,810,749,2.445,0.925,3,0,3,59,710,0.923,2.518,1406,14,2,0,0.609,0.928,0.09,2.726,7.03,93.19,91.53,1.67,84.17,10.28
76,209,2,34,Kari Lehtonen,DAL,2017,0,0,30,37,15,14,3,946,863,2.561,0.912,0,4,1,69,752,0.916,2.444,1694,19,7,3,0.633,0.906,0.089,2.746,4.63,93.44,93.36,0.08,85.57,0.56
75,195,0,28,Keith Kinkaid,NJD,2017,1,0,38,41,26,10,3,1214,1108,2.768,0.913,2,2,1,104,1078,0.912,2.802,2227,19,4,2,0.5,0.916,0.087,3.055,-5.54,91.76,91.84,-0.08,79,-0.78
75,204,164,24,Laurent Brossoit,EDM,2017,0,0,10,14,3,7,1,343,303,3.242,0.883,1,0,0,30,240,0.889,3.011,598,5,2,0,0.5,0.89,0.086,2.918,2.08,90.77,91.96,-1.18,88.24,-3.21
74,200,24,24,Malcolm Subban,VGK,2017,1,0,19,22,13,4,2,614,559,2.683,0.91,0,2,0,53,522,0.908,2.768,1149,8,2,1,0.421,0.911,0.086,3.024,1.87,92.34,92.55,-0.21,82.72,-0.97
74,180,1,33,Marc-Andre Fleury,VGK,2017,1,1,46,46,29,13,4,1376,1276,2.244,0.927,1,6,4,100,1276,0.927,2.244,2673,31,4,3,0.652,0.921,0.087,3.007,0.73,93.14,92.39,0.75,76.76,8.21
76,195,0,28,Martin Jones,SJS,2017,1,1,60,60,30,22,6,1699,1554,2.547,0.915,0,2,4,145,1554,0.915,2.547,3416,36,9,7,0.6,0.917,0.088,2.775,-5.46,91.51,91.9,-0.39,81.25,-5.25
74,190,0,24,Maxime Lagace,VGK,2017,1,0,14,16,6,7,1,430,373,3.915,0.867,0,0,0,49,353,0.878,3.626,811,5,3,2,0.429,0.872,0.088,3.503,-10.22,87.93,91.35,-3.42,67.16,-11.06
73,209,34,29,Michal Neuvirth,PHI,2017,1,0,18,22,9,7,3,530,485,2.599,0.915,1,0,1,44,461,0.913,2.708,975,10,5,4,0.5,0.91,0.089,2.542,-0.35,93.16,92.39,0.77,76.47,3.27
74,195,0,27,Mike Condon,OTT,2017,0,0,26,31,5,17,5,898,810,3.246,0.902,2,0,0,77,719,0.903,3.153,1465,13,6,3,0.5,0.898,0.087,2.066,0.23,92.09,92.19,-0.1,80.65,-0.72
76,215,161,35,Mike Smith,CGY,2017,0,1,55,55,25,22,6,1686,1545,2.652,0.916,2,8,3,141,1545,0.916,2.652,3191,32,9,6,0.582,0.916,0.088,2.426,2.82,92.73,92.2,0.53,78.92,6.83
75,212,41,30,Ondrej Pavelec,NYR,2017,0,0,12,19,4,9,1,510,464,3.054,0.91,0,2,1,35,335,0.905,3.238,649,5,3,2,0.5,0.917,0.091,2.589,1.53,91.91,91.07,0.84,80,3.44
77,217,258,35,Pekka Rinne,NSH,2017,1,1,59,59,42,13,4,1840,1706,2.313,0.927,1,6,8,134,1706,0.927,2.313,3475,40,5,3,0.678,0.925,0.087,3.159,12.26,93.71,92.75,0.96,83.33,13.07
73,191,112,26,Philipp Grubauer,WSH,2017,1,0,28,35,15,10,3,953,880,2.349,0.923,1,0,3,70,809,0.92,2.499,1681,19,3,0,0.679,0.929,0.087,2.638,8.39,93.78,91.57,2.21,85.53,16.33
75,217,4,38,Roberto Luongo,FLA,2017,0,1,33,35,18,11,2,1143,1062,2.472,0.929,2,0,3,81,1045,0.928,2.512,1934,22,3,2,0.606,0.929,0.088,2.655,6.05,93.29,92.24,1.05,77.3,9.41
76,245,46,26,Robin Lehner,BUF,2017,0,1,50,53,14,26,9,1560,1417,3.008,0.908,0,2,3,140,1373,0.907,3.044,2759,24,8,9,0.48,0.903,0.088,2.104,-6.46,92.1,92.56,-0.46,77.88,-5.5
