Height ,Weight,DraftOvrl,Age,Name,Team,Season,Playoff,Starter,GS,GP,W,L,OTL,Shots ,Saves ,GAA,Svperc,Assists,PIM,Shutouts,StGA,StSV,StSVperc,StGAA,StMIN,QS,RBS,Pull,QSperc,AdjSVperc,QoC,Gsupp,HDGSAA,SVperc5v5,xSVperc,dSVperc,HDSVperc,GSAA5v5
75,236,87,25,Frederik Andersen,ANA,2014,1,1,53,54,35,12,5,1436,1313,2.376,0.914,3,4,3,119,1294,0.916,2.349,3040,33,8,5,0.623,0.92,0.084,3.038,-0.35,91.82,92.16,-0.34,79.39,-3.73
73,188,205,32,Henrik Lundqvist,NYR,2014,1,1,46,46,30,13,3,1329,1226,2.253,0.922,1,0,5,103,1226,0.922,2.251,2745,30,4,2,0.652,0.923,0.085,3.174,0.62,93,91.92,1.08,78.76,11.59
74,195,34,24,Jake Allen,STL,2014,1,0,32,37,22,7,4,909,830,2.282,0.913,2,2,4,66,734,0.918,2.179,1817,18,5,2,0.563,0.92,0.083,2.903,5.85,92.02,92.08,-0.05,83.85,-0.38
74,208,99,26,James Reimer,TOR,2014,0,0,27,35,9,16,1,1001,908,3.158,0.907,0,2,0,83,796,0.906,3.234,1540,12,7,3,0.444,0.917,0.085,2.37,2.99,91.27,91.59,-0.32,82.61,-2.54
71,186,271,29,Jaroslav Halak,NYI,2014,1,1,59,59,38,17,4,1673,1529,2.434,0.914,1,2,6,144,1529,0.914,2.432,3552,36,7,2,0.61,0.924,0.086,3.169,16.49,92.34,90.92,1.42,82.86,18.47
73,218,64,30,Jimmy Howard,DET,2014,1,1,50,53,23,13,11,1350,1229,2.444,0.91,1,2,2,119,1204,0.91,2.467,2894,29,8,4,0.58,0.914,0.085,2.8,-0.53,92.17,92.41,-0.24,77.3,-2.48
75,216,39,21,John Gibson,ANA,2014,1,0,21,23,13,8,0,674,616,2.597,0.914,0,0,1,51,583,0.92,2.436,1256,14,4,0,0.667,0.917,0.087,2.667,-5.55,92.57,92.69,-0.13,75.28,-0.68
74,192,0,32,Jonas Hiller,CGY,2014,1,2,44,52,26,19,4,1376,1263,2.362,0.918,0,0,1,110,1161,0.913,2.529,2610,24,3,2,0.545,0.925,0.084,2.909,7.31,92.66,92.34,0.32,82.57,3.7
72,185,11,26,Jonathan Bernier,TOR,2014,0,1,55,58,21,28,7,1735,1583,2.87,0.912,1,0,2,149,1539,0.912,2.889,3094,26,11,8,0.473,0.922,0.086,2.673,6.35,92.19,92.5,-0.31,83.62,-4.03
73,220,72,29,Jonathan Quick,LAK,2014,0,1,71,72,36,22,13,1896,1740,2.237,0.918,1,18,6,154,1735,0.918,2.212,4177,42,9,4,0.592,0.924,0.085,2.732,3.51,92.75,92.65,0.1,81.78,1.39
